"Status","Name","DisplayName"
"Stopped","ALG","Application Layer Gateway Service"
"Stopped","AppIDSvc","Application Identity"
"Running","Appinfo","Application Information"
"Stopped","AppMgmt","Application Management"
"Running","AppReadiness","App Readiness"
"Stopped","AppVClient","Microsoft App-V Client"
"Running","AppXSvc","AppX Deployment Service (AppXSVC)"
"Running","AudioEndpointBuilder","Windows Audio Endpoint Builder"
"Running","Audiosrv","Windows Audio"
"Stopped","AxInstSV","ActiveX Installer (AxInstSV)"
"Running","BalloonService","BalloonService"
"Running","BFE","Base Filtering Engine"
"Running","BITS","Background Intelligent Transfer Service"
"Running","BrokerInfrastructure","Background Tasks Infrastructure Service"
"Stopped","BTAGService","BTAGService"
"Stopped","BthAvctpSvc","BthAvctpSvc"
"Stopped","bthserv","Bluetooth サポート サービス"
"Running","camsvc","機能アクセス マネージャー サービス"
"Running","CDPSvc","Connected Devices Platform Service"
"Running","CertPropSvc","Certificate Propagation"
"Running","ClipSVC","Client License Service (ClipSVC)"
"Stopped","COMSysApp","COM+ System Application"
"Running","CoreMessagingRegistrar","CoreMessaging"
"Running","CryptSvc","Cryptographic Services"
"Stopped","CscService","Offline Files"
"Running","DcomLaunch","DCOM Server Process Launcher"
"Stopped","dcsvc","宣言済み構成 (DC) サービス"
"Stopped","defragsvc","Optimize drives"
"Stopped","DeviceAssociationService","Device Association Service"
"Running","DeviceInstall","Device Install Service"
"Stopped","DevQueryBroker","DevQuery Background Discovery Broker"
"Running","Dhcp","DHCP Client"
"Running","DiagTrack","Connected User Experiences and Telemetry"
"Running","DispBrokerDesktopSvc","ポリシー サービスの表示"
"Stopped","DisplayEnhancementService","DisplayEnhancementService"
"Stopped","DmEnrollmentSvc","デバイス管理登録サービス"
"Stopped","dmwappushservice","デバイス管理ワイヤレス アプリケーション プロトコル (WAP) プッシュ メッセージ ルーティング サービス"
"Running","Dnscache","DNS Client"
"Running","DoSvc","Delivery Optimization"
"Stopped","dot3svc","Wired AutoConfig"
"Stopped","DPS","Diagnostic Policy Service"
"Stopped","DsmSvc","Device Setup Manager"
"Stopped","DsSvc","Data Sharing Service"
"Stopped","EapHost","Extensible Authentication Protocol"
"Stopped","edgeupdate","Microsoft Edge Update Service (edgeupdate)"
"Stopped","edgeupdatem","Microsoft Edge Update Service (edgeupdatem)"
"Stopped","EFS","Encrypting File System (EFS)"
"Stopped","embeddedmode","埋め込みモード"
"Stopped","EntAppSvc","Enterprise App Management Service"
"Running","EventLog","Windows Event Log"
"Running","EventSystem","COM+ Event System"
"Stopped","fdPHost","Function Discovery Provider Host"
"Stopped","FDResPub","Function Discovery Resource Publication"
"Running","FontCache","Windows Font Cache Service"
"Stopped","FrameServer","Windows カメラ フレーム サーバー"
"Stopped","FrameServerMonitor","Windows カメラ フレーム サーバー モニター"
"Stopped","GameInputSvc","GameInput Service"
"Running","gpsvc","Group Policy Client"
"Stopped","GraphicsPerfSvc","GraphicsPerfSvc"
"Stopped","hidserv","Human Interface Device Service"
"Stopped","HvHost","HV ホスト サービス"
"Stopped","IKEEXT","IKE and AuthIP IPsec Keying Modules"
"Stopped","InstallService","Microsoft Store インストール サービス"
"Stopped","InventorySvc","インベントリと互換性の評価サービス"
"Running","iphlpsvc","IP Helper"
"Running","KeyIso","CNG Key Isolation"
"Stopped","KPSSVC","KDC Proxy Server service (KPS)"
"Stopped","KtmRm","KtmRm for Distributed Transaction Coordinator"
"Running","LanmanServer","Server"
"Running","LanmanWorkstation","Workstation"
"Stopped","lfsvc","Geolocation Service"
"Stopped","LicenseManager","Windows ライセンス マネージャー サービス"
"Stopped","lltdsvc","Link-Layer Topology Discovery Mapper"
"Running","lmhosts","TCP/IP NetBIOS Helper"
"Stopped","LocalKdc","Kerberos ローカル キー配布センター"
"Running","LSM","Local Session Manager"
"Stopped","LxpSvc","LxpSvc"
"Stopped","MapsBroker","Downloaded Maps Manager"
"Stopped","McpManagementService","McpManagementService"
"Stopped","MicrosoftEdgeElevationService","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)"
"Running","mpssvc","Windows Defender Firewall"
"Stopped","MSDTC","Distributed Transaction Coordinator"
"Stopped","MSiSCSI","Microsoft iSCSI Initiator Service"
"Stopped","msiserver","Windows Installer"
"Stopped","NaturalAuthentication","NaturalAuthentication"
"Stopped","NcaSvc","Network Connectivity Assistant"
"Running","NcbService","Network Connection Broker"
"Stopped","Netlogon","Netlogon"
"Stopped","Netman","Network Connections"
"Running","netprofm","Network List Service"
"Running","NetSetupSvc","Network Setup Service"
"Stopped","NetTcpPortSharing","Net.Tcp Port Sharing Service"
"Stopped","NgcCtnrSvc","NgcCtnrSvc"
"Stopped","NgcSvc","NgcSvc"
"Stopped","NlaSvc","ネットワークの場所の認識"
"Running","nsi","Network Store Interface Service"
"Stopped","PcaSvc","Program Compatibility Assistant Service"
"Stopped","PerfHost","Performance Counter DLL Host"
"Stopped","pla","Performance Logs & Alerts"
"Running","PlugPlay","Plug and Play"
"Stopped","PolicyAgent","IPsec Policy Agent"
"Running","Power","Power"
"Running","PrintDeviceConfigurationService","印刷デバイス構成サービス"
"Stopped","PrintNotify","Printer Extensions and Notifications"
"Stopped","PrintScanBrokerService","PrintScanBrokerService"
"Running","ProfSvc","User Profile Service"
"Stopped","PushToInstall","Windows PushToInstall サービス"
"Stopped","QEMU Guest Agent VSS Provider","QEMU Guest Agent VSS Provider"
"Running","QEMU-GA","QEMU Guest Agent"
"Stopped","QWAVE","Quality Windows Audio Video Experience"
"Stopped","RasAuto","Remote Access Auto Connection Manager"
"Stopped","RasMan","Remote Access Connection Manager"
"Stopped","refsdedupsvc","ReFS 重複除去サービス"
"Stopped","RemoteAccess","Routing and Remote Access"
"Running","RemoteRegistry","Remote Registry"
"Running","RmSvc","無線管理サービス"
"Running","RpcEptMapper","RPC Endpoint Mapper"
"Stopped","RpcLocator","Remote Procedure Call (RPC) Locator"
"Running","RpcSs","Remote Procedure Call (RPC)"
"Stopped","RSoPProv","Resultant Set of Policy Provider"
"Stopped","sacsvr","Special Administration Console Helper"
"Running","SamSs","Security Accounts Manager"
"Stopped","SCardSvr","Smart Card"
"Running","ScDeviceEnum","Smart Card Device Enumeration Service"
"Running","Schedule","Task Scheduler"
"Stopped","SCPolicySvc","Smart Card Removal Policy"
"Stopped","seclogon","Secondary Logon"
